Rank,Country_EN,Country_FA,Points,Confederation
1,Argentina,آرژانتین,1877.27,CONMEBOL
2,Spain,اسپانیا,1874.71,UEFA
3,France,فرانسه,1870.7,UEFA
4,England,انگلستان,1828.02,UEFA
5,Portugal,پرتغال,1767.85,UEFA
6,Brazil,برزیل,1765.86,CONMEBOL
7,Morocco,مراکش,1755.1,CAF
8,Netherlands,هلند,1753.57,UEFA
9,Belgium,بلژیک,1742.24,UEFA
10,Germany,آلمان,1735.77,UEFA
11,Croatia,کرواسی,1714.87,UEFA
12,Italy,ایتالیا,1704.73,UEFA
13,Colombia,کلمبیا,1698.35,CONMEBOL
14,Mexico,مکزیک,1687.48,CONCACAF
15,Senegal,سنگال,1684.07,CAF
16,Uruguay,اروگوئه,1673.07,CONMEBOL
17,United States,ایالات متحده,1671.23,CONCACAF
18,Japan,ژاپن,1661.58,AFC
19,Switzerland,سوئیس,1650.06,UEFA
20,Iran,ایران,1619.58,AFC
